week,collection_date,sessions,total_users,new_users,screen_page_views,avg_bounce_rate,avg_session_duration,avg_engagement_rate,countries_reached,total_custom_events,days_collected,monthly_active_users,monthly_sessions,collected_at
2025-W01,2025-12-29,4,4,2,4,0.0,102.37,1.0,2,0,4,,,2026-01-05T03:59:28.290342+00:00
2026-W02,2026-01-05,28,12,3,16,0.3847,392.78,0.6153,5,0,6,,,2026-01-12T03:53:47.728777+00:00
2026-W03,2026-01-12,45,22,10,46,0.286,550.66,0.714,10,0,6,,,2026-01-19T03:54:44.777655+00:00
2026-W04,2026-01-19,20,14,4,18,0.2667,277.49,0.7333,6,0,6,,,2026-01-26T04:00:46.135957+00:00
2026-W05,2026-01-26,15,11,4,14,0.25,283.78,0.75,5,0,6,,,2026-02-02T04:28:28.547483+00:00
2026-W06,2026-02-02,25,19,7,28,0.2143,292.28,0.7857,7,0,7,,,2026-02-09T04:31:25.973496+00:00
2026-W07,2026-02-09,33,24,11,28,0.3026,271.48,0.6974,6,0,5,,,2026-02-16T04:30:11.210347+00:00
2026-W08,2026-02-16,23,20,15,21,0.1967,118.37,0.8033,4,0,5,,,2026-02-23T04:29:07.298389+00:00
2026-W09,2026-02-23,11,9,3,9,0.2381,93.23,0.7619,5,0,7,,,2026-03-02T04:19:30.334699+00:00
2026-W10,2026-03-02,25,12,5,15,0.1726,353.54,0.8274,5,0,6,,,2026-03-09T04:23:03.938836+00:00
2026-W11,2026-03-09,24,11,2,28,0.27,788.21,0.73,4,0,5,,,2026-03-16T04:44:34.999157+00:00
2026-W12,2026-03-16,21,15,6,17,0.4992,167.26,0.5008,5,0,6,,,2026-03-23T04:33:31.266271+00:00
2026-W13,2026-03-23,20,17,5,20,0.162,314.96,0.838,4,0,6,,,2026-03-30T04:49:44.780372+00:00
2026-W14,2026-03-30,31,21,12,65,0.1343,573.14,0.8657,7,0,6,,,2026-04-06T04:49:17.710571+00:00
2026-W15,2026-04-06,54,40,24,57,0.1795,551.62,0.8205,16,0,7,,,2026-04-13T05:19:01.560499+00:00
2026-W16,2026-04-13,97,70,47,99,0.3603,424.12,0.6397,20,0,7,,,2026-04-20T05:18:12.062794+00:00
2026-W17,2026-04-20,87,59,35,74,0.4308,212.63,0.5692,16,0,7,,,2026-04-27T05:29:33.973935+00:00
2026-W18,2026-04-27,91,53,27,74,0.4729,356.92,0.5271,20,0,7,,,2026-05-04T05:39:54.939524+00:00
2026-W19,2026-05-04,94,59,32,107,0.3319,254.55,0.6681,16,0,7,,,2026-05-11T06:03:42.469172+00:00
2026-W20,2026-05-11,48,34,17,36,0.449,233.57,0.551,11,0,7,,,2026-05-18T06:19:48.621279+00:00
2026-W21,2026-05-18,57,41,26,57,0.3224,155.95,0.6776,14,0,6,,,2026-05-25T06:41:22.396912+00:00
2026-W22,2026-05-25,41,31,15,40,0.3281,756.72,0.6719,12,0,7,,,2026-06-01T07:07:00.267023+00:00
2026-W23,2026-06-01,47,37,19,47,0.3185,219.46,0.6815,14,0,7,,,2026-06-08T06:51:20.784588+00:00
2026-W24,2026-06-08,45,28,16,48,0.4231,348.78,0.5769,12,0,7,,,2026-06-15T07:27:33.002756+00:00
2026-W25,2026-06-15,58,36,21,102,0.2575,782.29,0.7425,14,0,7,,,2026-06-22T07:31:36.135561+00:00
2026-W26,2026-06-22,44,34,24,144,0.1449,573.16,0.8551,17,0,7,,,2026-06-29T06:56:20.205879+00:00
2026-W27,2026-06-29,42,35,21,53,0.2619,292.94,0.7381,11,0,6,,,2026-07-06T06:42:25.107008+00:00
2026-W28,2026-07-06,56,39,23,59,0.3735,265.75,0.6265,13,0,6,,,2026-07-13T05:43:42.842382+00:00
2026-W29,2026-07-13,49,30,14,51,0.2182,338.98,0.7818,7,0,7,,,2026-07-20T05:47:16.112396+00:00
2026-W30,2026-07-20,30,20,9,21,0.469,182.83,0.531,10,0,7,,,2026-07-27T05:56:03.469683+00:00
2026-W31,2026-07-27,23,13,4,18,0.1667,285.27,0.8333,5,0,6,,,2026-08-03T05:48:51.549376+00:00
2026-W32,2026-08-03,162,160,153,164,0.3099,288.0,0.6901,15,0,6,,,2026-08-10T04:01:30.148126+00:00
2026-W33,2026-08-10,23,15,6,20,0.2041,287.19,0.7959,3,0,7,,,2026-08-17T03:04:49.173014+00:00
2026-W34,2026-08-17,14,13,9,13,0.5417,246.58,0.4583,6,0,6,,,2026-08-24T03:09:03.157291+00:00
2026-W35,2026-08-24,33,28,13,48,0.4327,276.04,0.5673,8,0,7,,,2026-08-31T08:29:56.530455+00:00
2026-W36,2026-08-31,34,23,12,28,0.2302,250.92,0.7698,10,0,7,,,2026-09-07T07:12:35.569056+00:00
